Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0;492;0;0;0;0;0;2.52;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;_ALL;_ALL;0;100;0;492;0;0;0;0;0;2.52;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;4967;_ALL;0;100;0;492;0;0;0;0;0;2.52;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;4967;4967;0;100;0;492;0;0;0;0;0;2.52;0;0;
