Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;100;0;182;0;0;0;0;0;0.94;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;_ALL;_ALL;0;100;0;182;0;0;0;0;0;0.94;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;8838;_ALL;0;100;0;182;0;0;0;0;0;0.94;0;0;
katia-VivoBook-ASUSLaptop-X415JAB-X415JA;8838;8838;0;100;0;182;0;0;0;0;0;0.94;0;0;
